model,polyrhythms,dynamics,seventh_chords,mode_mixture,secondary_dominants
wav2vec2-large,24735.07281465768,23511.43621711575,34862.30202239774,25946.368175454867,29179.953970100632
wav2vec2-base,21010.879411427646,17549.80824226886,30133.718378323156,20056.778681897747,23963.297324232546
MERT-v1-330M,23076.59345646142,23201.959642750702,25852.63903754971,22516.619488690478,24393.54532175874
MERT-v1-95M,16999.561356036334,17062.984895519912,24983.74881197794,18052.616581105816,20578.788519255606
jukebox,121862.96464480582,123317.33023504744,123705.79174971062,119807.62753348521,122360.69409968503
musicgen-large,49287.90571901755,49262.17650146251,54842.14013547423,49558.059394560914,54132.34848511129
musicgen-medium,37322.568586634625,36132.58656488865,44957.26087417778,37319.608724750426,41511.15953013765
musicgen-small,26971.915047361843,23532.80791755163,30057.766419828153,23965.664701410067,27430.69199147438
musicgen-audio,16550.161287423747,7838.335094802857,22937.548517430827,6330.978760745097,11103.867567231999
baseline-mel,32436.50605174747,19779.746103473008,32990.09406496867,19194.923190259564,24800.532196096865
baseline-mfcc,24976.78207812057,4523.21228475887,22204.73565667488,5999.158338853051,10640.369183862265
baseline-chroma,27213.397338251212,8523.860415809326,22975.4186095293,4599.083171594996,7936.549060772157
baseline-concat,29961.351645732037,22561.55061208993,36969.8636207241,22823.121786180192,26649.24997634578
