model,polyrhythms,dynamics,seventh_chords,mode_mixture,secondary_dominants
wav2vec2-large,10539.418556789999,9315.781959248072,20666.647764530055,11750.713917587189,14984.299712232953
wav2vec2-base,10806.01838131282,7344.947212154035,19928.85734820833,9851.917651782922,13758.436294117722
MERT-v1-330M,8880.93919859374,9006.305384883022,11656.98477968203,8320.9652308228,10197.891063891058
MERT-v1-95M,6794.700325921509,6858.123865405087,14778.887781863115,7847.755550990991,10373.927489140782
jukebox,40489.801154604385,41944.16674484601,42332.6282595092,38434.464043283784,40987.53060948359
musicgen-large,18057.46635170866,18031.737134153616,23611.70076816533,18327.620027252015,22901.909117802392
musicgen-medium,14783.498387724823,13593.516365978845,22418.19067526798,14780.538525840624,18972.089331227846
musicgen-small,12776.260789494161,9337.153659683949,15862.112161960473,9770.01044354239,13235.037733606701
musicgen-audio,15308.041539860324,6596.215347239436,21695.428769867405,5088.859013181675,9861.747819668577
baseline-mel,22231.645021632645,9574.885073358182,22785.233034853838,8990.062160144738,14595.671165982041
baseline-mfcc,23827.78405985288,3374.214266491179,21055.737638407187,4850.16032058536,9491.371165594575
baseline-chroma,26597.5574171129,7908.020494671014,22359.57868839099,3983.2432504566846,7320.709139633845
baseline-concat,16776.83973956522,9377.038705923116,23785.351714557288,9638.60988001338,13464.738070178968
