model,polyrhythms,dynamics,seventh_chords,mode_mixture,secondary_dominants
baseline-concat,10602.469848632812,2908.3143124580383,17473.270431518555,3879.2406454086304,7429.194046020508
baseline-chroma,26134.47967529297,7422.866165161133,21886.172592163086,3551.290557861328,6868.04333782196
baseline-mfcc,23055.987823486328,2565.6237173080444,20266.727478027344,4130.239166259766,8736.928162574768
baseline-mel,17292.14910888672,4399.905558586121,17735.56800842285,4382.5667724609375,9767.235946655273
musicgen-audio,14484.792221069336,5733.718761444092,20853.817932128906,4320.943115234375,9057.008616447449
musicgen-small,6190.26623916626,2437.1809733211994,9129.22546005249,3626.6832599639893,6797.124107837677
musicgen-medium,4904.506562232971,3243.557336434722,12318.860622406006,5565.5477504730225,9315.21889257431
musicgen-large,4885.477251052856,4231.791761428118,10145.927364349365,6040.965660095215,10026.081866264343
jukebox,9617.95169994235,9600.544777520621,10772.221844315529,9637.61787026003,10809.810488691292
MERT-v1-95M,1855.2044131755829,1683.1443506330252,9729.222755432129,3240.26016330719,5545.492269814014
MERT-v1-330M,2294.9446482658386,2106.332698520273,4924.098077774048,2177.6380472444,3759.977438122034
wav2vec2-base,5866.5224685668945,2169.9676973819733,14879.192321777344,5244.422264099121,8930.001074790955
wav2vec2-large,3953.424006462097,2415.8092728853226,13933.76106262207,5607.386734008789,8546.386086463928
