model,polyrhythms,dynamics,seventh_chords,mode_mixture,secondary_dominants
wav2vec2-large,1.3665189767859267,0.8988916049496956,2.9203348535492237,2.852401708600343,2.8395628598736513
wav2vec2-base,1.5658697855237,0.708918116488787,3.0256937194457594,2.459301485407313,2.711121751777051
MERT-v1-330M,1.1821633387342483,0.8573609738014695,1.327976494466406,1.7444017234047633,1.6334434390689052
MERT-v1-95M,0.8911806124485915,0.6408477357808612,1.9556143463123514,1.7493423198882032,1.8449946050792998
jukebox,6.03542698247679,4.490931706788437,5.279969262497646,9.143258134774811,6.995595713886135
musicgen-large,2.4928152150934704,1.8142626412814158,2.7926224335935173,4.2756900872492505,4.1581405349939855
musicgen-medium,2.0152289349316663,1.339395723602655,2.8466106127338975,3.431879470692993,3.5132938981246236
musicgen-small,1.807994807211328,0.9045798232073805,2.1064952972008477,2.203881602405773,2.3725171851768856
musicgen-audio,3.0857561189643667,0.9598141490433523,3.897456570997497,1.5258787049673272,2.331730061005412
baseline-mel,4.1711654621566785,1.0616997070323009,3.6680501844986853,2.1974613458403436,2.9759435377578516
baseline-mfcc,4.914381093126635,0.44953990297528057,3.816049010359487,1.4689806310757445,2.2546257788910524
baseline-chroma,5.564023363988742,1.2009109014536576,4.125911528913669,1.244087667375545,1.7463245445329219
baseline-concat,2.73601922742063,0.9384438736109215,3.3673811233814566,2.1627440502732163,2.4412739452096592
