model,polyrhythms,dynamics,seventh_chords,mode_mixture,secondary_dominants
wav2vec2-large,352390.7719410897,75191.76614287625,130621.43012346033,35281.370843049655,58635.92640732953
wav2vec2-base,276407.524745879,57865.10840304695,119090.34983319053,31360.16095883489,55212.08584505623
MERT-v1-330M,348441.87417402276,73982.97559267598,91239.22318662409,19864.65904903836,36262.41115140149
MERT-v1-95M,261955.68265861014,55883.85190216206,92625.14677685508,21481.789129801993,39145.427273812944
jukebox,1627822.2596960228,345438.3946481353,389184.631686532,91660.33536978948,142775.58233073205
musicgen-large,696457.7912407028,147952.10086666184,182938.4974011778,47819.84665996852,86188.96211070739
musicgen-medium,526430.9927957826,111245.82830422504,156709.88423732517,39885.62169668426,72854.32369551138
musicgen-small,361847.1842288018,75357.32742348443,110493.5502158523,26257.862085458408,49972.22914170453
musicgen-audio,107315.89442541273,34660.22307803418,104294.50748688,21229.241158194836,44556.983176708185
baseline-mel,332212.9581393574,68133.16937740646,134977.1099268795,27716.917256900077,60124.52997500008
baseline-mfcc,143945.53389044775,19407.92501963389,101807.76964555847,20454.357880911215,43062.568871693984
baseline-chroma,142598.25416454475,38850.22190864261,106605.52086606192,17400.404042404807,33223.22946494862
baseline-concat,361675.57597485423,73407.09617312101,138157.01857330804,26086.014885171928,51000.79658330478
