model,polyrhythms,dynamics,seventh_chords,mode_mixture,secondary_dominants
wav2vec2-large,4952.313807487488,1467.1253448724747,47709.473918914795,15750.716804504395,28439.89649963379
wav2vec2-base,15702.106174468994,2566.324626684189,56882.667348861694,16706.04487991333,32564.080507278442
MERT-v1-330M,932.7094440460205,250.99407354183495,8370.224452018738,355.6231974437833,6088.845931053162
MERT-v1-95M,1243.448157787323,580.2493773251772,30474.647872924805,6870.47728061676,16511.89119911194
jukebox,57.06813061609864,15.97218644427403,718.9047613739967,93.88174936547875,1262.0071892738342
musicgen-large,1761.0774309635162,543.1841160356998,17178.486129760742,8778.967533111572,25836.88422393799
musicgen-medium,5331.78217124939,680.9637125730515,32388.84518814087,10603.901268005371,27586.198455810547
musicgen-small,14333.372899055481,1625.001675605774,27612.34808921814,6743.57786655426,19794.57612991333
musicgen-audio,63588.66023826599,25387.251796722412,93862.15230321884,18777.99349117279,40758.32816839218
baseline-mel,71491.92446804047,12811.895256996155,72761.61054039001,13051.30299282074,37460.522230148315
baseline-mfcc,102942.09574890137,10718.333183288574,92049.45377731323,18150.880168437958,39524.53819847107
baseline-chroma,117857.90216350555,33608.05388355255,100739.65911865234,16034.672931671143,31096.589555740356
baseline-concat,35859.583846092224,4274.255347728729,60480.29187011719,7804.216478347778,22717.990924835205
