model,polyrhythms,dynamics,seventh_chords,mode_mixture,secondary_dominants
wav2vec2-large,29270.836482754552,26163.13905366584,72225.7216056088,39688.317367743126,52673.89105065623
wav2vec2-base,33540.930805917655,20633.770698522636,74831.45706933252,34218.72086795735,50291.3084954643
MERT-v1-330M,25321.938715687596,24954.34850346557,32843.514661143156,24271.605579453877,30300.375794728192
MERT-v1-95M,19089.08871864883,18652.514197637745,48366.25401299707,24340.349038924458,34224.64992422101
jukebox,129278.84596207866,130713.05825778426,130584.1998000918,127219.29368725672,129768.3004925878
musicgen-large,53396.10193877338,52805.928437136885,69067.13802763486,59491.951873986065,77133.50692413843
musicgen-medium,43166.20416961337,38984.451931178875,70402.37367413475,47751.170955222304,65171.60181021177
musicgen-small,38727.24877046665,26328.700334274017,52097.84167320523,30664.8086130129,44010.19378503123
musicgen-audio,66096.89606821674,27936.350622055812,96391.89591391009,21231.076300915392,43253.5926316504
baseline-mel,89346.36419939606,30901.83167288215,90718.21718590967,30575.47716602254,55203.752625408146
baseline-mfcc,105266.04301477251,13084.308415998516,94378.52412421083,20439.39650078791,41823.308198429026
baseline-chroma,119181.38045663886,34953.71269771016,102042.04393309286,17310.235803863332,32394.3203010857
baseline-concat,58605.53185134989,27314.34738531948,83282.06994347018,30092.420715501532,45285.63168363918
