model,polyrhythms,dynamics,seventh_chords,mode_mixture,secondary_dominants
wav2vec2-large,6911.771952629089,3490.0963875055313,49719.43363952637,17771.036684036255,30462.134323120117
wav2vec2-base,17213.512071609497,4070.8683621883392,58393.62075805664,18222.640018463135,34074.370613098145
MERT-v1-330M,2962.874185562134,2281.3058373052627,10337.22669506073,2354.324895747006,8088.619067192078
MERT-v1-95M,2761.6699843406677,2089.6118613034487,31928.41770172119,8344.268189430237,18007.71204185486
jukebox,9639.696820668876,9602.13660371112,10254.940802633762,9651.006325934082,10819.656675815582
musicgen-large,5838.842026948929,4620.712253242731,21215.431243896484,12818.25965499878,29870.862617492676
musicgen-medium,8382.018562316895,3729.2991198301315,35397.35291290283,13629.661117553711,30608.377906799316
musicgen-small,16368.184240341187,3655.6576681137085,29591.553707122803,8747.52792930603,21798.437057495117
musicgen-audio,63834.350036621094,25634.55732345581,94110.94695281982,19023.75325012207,41009.46007537842
baseline-mel,73018.94546508789,14338.929336547852,74280.38087463379,14579.39631652832,38986.81474304199
baseline-mfcc,103160.39535522461,10941.866443634033,92255.62371826172,18385.520385742188,39734.92317199707
baseline-chroma,117991.55075073242,33741.80640411377,100841.8625793457,16151.469024658203,31214.848175048828
baseline-concat,37767.822814941406,6182.283846378326,62306.33893585205,9668.884035110474,24586.023712158203
