model,polyrhythms,dynamics,seventh_chords,mode_mixture,secondary_dominants
wav2vec2-large,1024726.8609262649,190469.22374246948,229996.44206058304,51222.97958281408,81372.0081473263
wav2vec2-base,756669.6006328496,140162.71012524934,173443.76122821003,38583.8322749739,62241.614641060456
MERT-v1-330M,1023068.3815680686,190159.74716810443,220986.77907573502,47793.23089604969,76585.5994989844
MERT-v1-95M,752658.2825774583,139675.8867774275,168293.79166186482,36579.67017418197,58857.105836083516
jukebox,5294923.335499836,994204.2861758365,1141395.3868362145,252942.74023951433,396390.8068362595
musicgen-large,2141944.076067895,400022.7793427241,464766.63952253154,102902.68555914958,164119.83145328876
musicgen-medium,1577909.321582986,293948.745978115,346269.6859047521,76456.48630047147,122253.32798062066
musicgen-small,1026963.7031589691,190490.59544266693,225191.90645801346,49242.27610876928,79622.74616870005
musicgen-audio,124773.45359326033,25659.497575518253,43769.925456025216,8994.100742853956,16619.90801359138
baseline-mel,768095.2272731694,142392.6479864535,176300.13691485554,37721.97678333572,63078.849512924775
baseline-mfcc,125978.39446596467,21147.36632036625,41637.858759392184,8482.726020276215,15784.454704385967
baseline-chroma,85720.49280752969,18117.68397495417,34190.06638728835,6030.407762496301,10899.315235992737
baseline-concat,963426.7209806461,178352.5556929026,219053.98903038347,46398.929190677794,75336.02609215441
