model,polyrhythms,dynamics,seventh_chords,mode_mixture,secondary_dominants
wav2vec2-large,71605.4240064621,14717.809272885323,28285.76106262207,7659.386734008789,12648.386086463928
wav2vec2-base,56622.522468566895,11399.967697381973,25647.192321777344,6784.422264099121,12008.001074790955
MERT-v1-330M,69946.94464826584,14408.33269836381,19276.098077774048,4229.6380472444,7861.977438122034
MERT-v1-95M,52611.20441317558,10913.144349560142,20497.22275543213,4780.26016330719,8623.492269814014
jukebox,326485.95169994235,67214.54477752063,77988.22184431553,19241.61787026003,30015.81048869129
musicgen-large,140121.47725105286,28821.791761428118,38833.927364349365,10140.965660095215,18224.081866264343
musicgen-medium,106348.50656223297,21689.557336434722,33838.860622406006,8641.547750473022,15465.21889257431
musicgen-small,73842.26623916626,14739.1809733212,23481.22546005249,5678.683259963989,10899.124107837677
musicgen-audio,23000.792221069336,7283.718761444092,22661.817932128906,4580.943115234375,9575.008616447449
baseline-mel,68048.14910888672,13629.90555858612,28503.56800842285,5922.5667724609375,12845.235946655273
baseline-mfcc,31043.987823486328,4019.6237173080444,21962.727478027344,4374.239166259766,9222.928162574768
baseline-chroma,30954.47967529297,8300.866165161133,22910.172592163086,3699.290557861328,7162.04333782196
baseline-concat,74030.46984863281,14442.314312934875,30929.270431518555,5803.24064540863,11275.194046020508
