model,polyrhythms,dynamics,seventh_chords,mode_mixture,secondary_dominants
baseline-concat,284177.72174063855,59770.5528492261,81478.52137318708,17333.977800523557,29400.687193571383
baseline-chroma,46917.79849747446,11744.114253765982,26750.02203934498,4575.194628957467,8538.90181833311
baseline-mfcc,57503.735460252916,9726.92534362567,28327.409438424733,5826.08016081638,11505.118246709686
baseline-mel,236209.68574255207,49901.92994402624,68953.4888972294,15149.556233733965,27349.402679711075
musicgen-audio,51209.944660266774,13368.36264404718,29447.305311395547,6128.773597034402,12008.087301186328
musicgen-small,297984.75655061874,63086.15755965771,77396.919752675,17977.33631302622,30231.726060220244
musicgen-medium,442452.9043885234,94186.43832527928,114686.10172266046,27083.52798711365,44454.69128361042
musicgen-large,588187.782273654,125468.57715254229,146612.71527223574,34726.27308031425,56870.42469595398
jukebox,1376347.508758368,293667.06633083406,330524.0738432235,76847.30890221296,120567.83192614368
MERT-v1-95M,220772.74104684094,47185.16873500026,60947.143644238684,14007.249624580218,23127.659002869816
MERT-v1-330M,294089.4349597183,62755.3092850952,73191.79237039656,16528.29110030663,27194.5793905046
wav2vec2-base,224784.05910223225,47671.99208282209,66097.11321058389,16011.411725372149,26512.167807846756
wav2vec2-large,295747.9143179146,63064.78585946025,82201.45535524459,19958.03978707102,31980.988038846495
